================================================
--- Results for Trace: cc ---
================================================
Cache Size (B) | I-Cache Hit Rate | D-Cache Hit Rate
------------------------------------------------------
             4 |                  |                 
             8 |           0.0000 |           0.1373
            16 |           0.0047 |           0.2229
            32 |           0.0353 |           0.3330
            64 |           0.1194 |           0.4366
           128 |           0.2023 |           0.5502
           256 |           0.3010 |           0.6583
           512 |           0.3993 |           0.7523
          1024 |           0.4736 |           0.8344
          2048 |           0.5930 |           0.8766
          4096 |           0.7360 |           0.9105
          8192 |           0.8684 |           0.9437
         16384 |           0.9360 |           0.9555
         32768 |           0.9492 |           0.9606
         65536 |           0.9511 |           0.9618

================================================
--- Results for Trace: spice ---
================================================
Cache Size (B) | I-Cache Hit Rate | D-Cache Hit Rate
------------------------------------------------------
             4 |           0.0000 |           0.0604
             8 |           0.0000 |           0.1454
            16 |           0.0034 |           0.2622
            32 |           0.0101 |           0.3659
            64 |           0.2636 |           0.4521
           128 |           0.3687 |           0.5395
           256 |           0.4548 |           0.7243
           512 |           0.5368 |           0.8448
          1024 |           0.7548 |           0.9080
          2048 |           0.8620 |           0.9532
          4096 |           0.9057 |           0.9656
          8192 |           0.9747 |           0.9726
         16384 |           0.9864 |           0.9806
         32768 |           0.9885 |           0.9806
         65536 |           0.9885 |           0.9806

================================================
--- Results for Trace: tex ---
================================================
Cache Size (B) | I-Cache Hit Rate | D-Cache Hit Rate
------------------------------------------------------
             4 |           0.0000 |           0.0001
             8 |           0.0000 |           0.2222
            16 |           0.0000 |           0.3333
            32 |           0.1874 |           0.5713
            64 |           0.1874 |           0.9204
           128 |           0.1874 |           0.9365
           256 |           0.5433 |           0.9365
           512 |           0.9991 |           0.9365
          1024 |           0.9997 |           0.9365
          2048 |           0.9997 |           0.9365
          4096 |           0.9997 |           0.9365
          8192 |           0.9997 |           0.9365
         16384 |           0.9997 |           0.9365
         32768 |           0.9997 |           0.9595
         65536 |           0.9997 |           0.9595

Extraction complete.
